,AGVH,AGVD,AGVA,LEVEL,SUM
626,0.49,0.36,0.15,0,11.03
627,0.34,0.37,0.29,0,8.75
628,0.24,0.35,0.42,0,9.1
629,0.16,0.32,0.51,0,10.69
630,0.24,0.38,0.37,0,8.99
631,0.62,0.31,0.07,0,18.43
632,0.17,0.34,0.49,0,10.42
633,0.22,0.35,0.43,0,9.35
634,0.23,0.4,0.37,0,9.17
635,0.24,0.35,0.4,0,8.94
636,0.23,0.37,0.4,0,9.13
637,0.33,0.36,0.32,0,8.63
638,0.16,0.36,0.48,0,10.45
639,0.19,0.38,0.44,0,9.8
640,0.17,0.35,0.49,0,10.48
641,0.28,0.36,0.36,0,8.73
642,0.26,0.38,0.36,0,8.76
643,0.28,0.38,0.34,0,8.77
644,0.18,0.34,0.48,0,10.06
645,0.43,0.37,0.2,0,9.66
646,0.27,0.36,0.36,0,8.75
647,0.07,0.31,0.62,0,18.41
648,0.29,0.36,0.35,0,8.71
649,0.21,0.36,0.43,0,9.4
650,0.52,0.35,0.13,0,12.05
651,0.26,0.39,0.35,0,8.81
652,0.33,0.38,0.29,0,8.72
653,0.54,0.34,0.12,0,12.6
654,0.26,0.37,0.37,0,8.86
655,0.24,0.35,0.41,0,9.02
656,0.08,0.33,0.59,0,16.64
657,0.33,0.37,0.3,0,8.7
658,0.03,0.29,0.69,0,39.75
659,0.05,0.29,0.67,0,26.06
660,0.45,0.37,0.18,0,10.05
