,AGVH,AGVD,AGVA,LEVEL,SUM
397,0.13,0.34,0.54,2.0,12.16
398,0.52,0.34,0.14,2.0,11.29
399,0.07,0.3,0.63,3.0,18.23
400,0.34,0.37,0.29,1.0,8.66
401,0.05,0.3,0.65,2.0,22.08
402,0.07,0.31,0.62,4.0,18.43
403,0.24,0.38,0.38,3.0,9.0
404,0.31,0.37,0.32,2.0,8.62
405,0.07,0.31,0.61,3.0,17.62
406,0.52,0.34,0.14,1.0,11.5
407,0.32,0.37,0.31,2.0,8.62
408,0.3,0.38,0.33,1.0,8.63
409,0.05,0.28,0.68,1.0,25.47
410,0.09,0.3,0.61,3.0,15.14
411,0.18,0.36,0.45,3.0,9.86
412,0.06,0.29,0.65,2.0,21.92
413,0.09,0.32,0.59,2.0,15.33
414,0.26,0.36,0.38,1.0,8.8
415,0.09,0.33,0.59,1.0,15.54
416,0.18,0.39,0.44,1.0,10.03
417,0.18,0.35,0.47,4.0,10.08
418,0.23,0.36,0.41,6.0,9.14
419,0.04,0.28,0.69,1.0,31.2
420,0.24,0.38,0.38,1.0,8.93
421,0.18,0.36,0.46,1.0,9.9
422,0.11,0.32,0.57,3.0,12.93
423,0.06,0.3,0.63,2.0,19.38
424,0.28,0.38,0.34,1.0,8.66
425,0.07,0.33,0.6,2.0,17.18
426,0.29,0.39,0.32,1.0,8.64
427,0.09,0.3,0.6,2.0,14.89
428,0.13,0.33,0.54,2.0,12.12
429,0.18,0.36,0.46,1.0,9.95
430,0.09,0.3,0.61,2.0,15.44
431,0.06,0.3,0.64,2.0,21.46
432,0.26,0.36,0.38,1.0,8.82
433,0.04,0.29,0.68,2.0,29.96
434,0.27,0.37,0.36,1.0,8.73
435,0.17,0.36,0.47,2.0,10.23
436,0.28,0.36,0.36,1.0,8.69
437,0.18,0.37,0.44,4.0,9.86
438,0.06,0.29,0.65,2.0,20.0
439,0.17,0.35,0.48,2.0,10.36
440,0.3,0.37,0.33,1.0,8.63
441,0.23,0.36,0.41,1.0,9.09
442,0.26,0.37,0.37,1.0,8.85
443,0.12,0.33,0.55,1.0,12.68
444,0.54,0.33,0.13,1.0,11.75
